Player,Kills,Deaths,Assists,Victorys,Losses
Drako TiltaMenos,78,82,158,4,2
EL B R A Z I N O,38,25,52,2,0
Kinha,85,90,200,5,3
Buchada de bode,14,11,27,1,0
Marocos,140,96,195,6,2
Tonhão Calabresa,101,96,158,2,5
Batman0,4,12,26,0,1
Déssio Pinto,79,84,197,1,7
Torres,20,19,27,2,0
Seltinho,20,22,29,1,1
shacoaIhar,1,7,6,0,1
XCabraSatanicoX,33,25,67,1,1
JS Developer,30,41,109,1,2
SrAlface,9,28,55,1,1
aug,9,25,78,1,1
HEZ ColdMasterXB,18,12,28,1,0
PZzzang,40,34,92,1,2
Sopa de Sapo,33,32,62,1,1
Capitão Volibear,25,45,68,2,1
NicoNicoNicolas,5,12,12,0,1
Rog1veN,30,17,26,0,1
